WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Rio Tercero,AR,-32.173,-64.1141,62.8,84,100,14.72,overcast clouds
175,San Andres,CO,12.5847,-81.7006,84.22,79,75,11.5,broken clouds
176,San Cristobal,VE,7.7669,-72.225,78.98,55,66,3.71,broken clouds
177,Cayenne,GF,4.9333,-52.3333,87.84,66,75,13.8,broken clouds
178,Vardo,NO,70.3705,31.1107,35.58,80,100,5.75,overcast clouds
179,Aginskoye,RU,51.1,114.53,1.13,92,10,4.16,clear sky
180,Axim,GH,4.8699,-2.2405,78.35,84,100,6.87,light rain
181,Kavaratti,IN,10.5669,72.642,80.51,57,61,4.94,broken clouds
182,Saint George,US,37.1041,-113.5841,47.43,34,0,1.99,clear sky
183,Iqaluit,CA,63.7506,-68.5145,6.53,72,75,2.3,broken clouds
184,Arman,RU,59.7,150.1667,10.08,76,100,7.27,overcast clouds
185,Novoomskiy,RU,54.8415,73.3017,3.22,78,40,6.71,scattered clouds
186,Lindi,TZ,-10.0,39.7167,77.77,85,98,6.22,overcast clouds
187,Waingapu,ID,-9.6567,120.2641,80.29,81,100,2.82,overcast clouds
188,Tsabong,BW,-26.0217,22.401,83.66,7,99,6.29,overcast clouds
189,Puerto Leguizamo,CO,-0.1934,-74.7819,82.11,82,100,2.1,overcast clouds
190,Toora-Khem,RU,52.4675,96.11,8.08,98,100,1.16,overcast clouds
191,Padang,ID,-0.9492,100.3543,75.92,88,100,3.49,overcast clouds
192,Bahia Blanca,AR,-38.7196,-62.2724,71.29,37,6,1.01,clear sky
193,Kysyl-Syr,RU,63.8986,122.7617,-27.44,100,89,2.44,overcast clouds
194,Kruisfontein,ZA,-34.0033,24.7314,59.88,80,40,1.9,scattered clouds
195,Dalbandin,PK,28.8947,64.4101,62.46,29,5,7.45,clear sky
196,Asau,RO,46.4333,26.4,33.28,100,100,0.47,overcast clouds
197,Bobo Dioulasso,BF,11.1771,-4.2979,84.65,34,87,3.44,overcast clouds
198,Alexandria,EG,31.2156,29.9553,71.31,59,100,12.66,overcast clouds
199,Taybad,IR,34.74,60.7756,53.67,51,5,9.13,clear sky
200,Namibe,AO,-15.1961,12.1522,72.72,75,94,2.24,overcast clouds
201,Lasa,IT,46.6166,10.7002,40.08,71,47,2.91,scattered clouds
202,Manjacaze,MZ,-24.7117,33.8828,69.19,60,33,7.7,scattered clouds
203,Zemio,CF,5.0314,25.1361,75.31,42,93,3.0,overcast clouds
204,Kargil,IN,34.5667,76.1,16.92,63,7,4.25,clear sky
